# Canonical QEq atomic parameters from Caltech cheq 0.5.1, commit
# f71eeb4ab3790557fb244a8f09fa60e255ee6274 (MIT license).
# Rappe and Goddard, J. Phys. Chem. 95 (1991), DOI:10.1021/j100161a070.
# Elt   Eneg(eV/e)   Idempotential J0(eV/e^2)   Covalent radius(Angstrom)   Principal n
H   4.528  13.8904  0.371  1
He  9.66  29.84  0.28  1
Li  3.006  4.772  1.557  2
Be  4.877  8.886  0.96  2
B   5.11  9.5  0.85  2
C   5.343  10.126  0.759  2
N   6.899  11.76  0.715  2
O   8.741  13.364  0.669  2
F   10.874  14.948  0.706  2
Ne  11.04  21.1  0.58  2
Na  2.843  4.592  2.085  3
Mg  3.951  7.386  1.41  3
Al  4.06  7.18  1.21  3
Si  4.168  6.974  1.176  3
P   5.463  8  1.102  3
S   6.928  8.972  1.047  3
Cl  8.564  9.892  0.994  3
Ar  9.465  12.71  1.06  3
K   2.421  3.84  2.586  4
Ca  3.231  5.76  1.76  4
Sc  3.395  6.16  1.7  4
Ti  3.47  6.76  1.6  4
V   3.65  6.82  1.53  4
Cr  3.415  7.73  1.39  4
Mn  3.325  8.21  1.39  4
Fe  3.76  8.28  1.32  4
Co  4.105  8.35  1.26  4
Ni  4.465  8.41  1.24  4
Cu  4.2  8.44  1.32  4
Zn  5.106  8.57  1.22  4
Ga  3.641  6.32  1.22  4
Ge  4.051  6.876  1.2  4
As  5.188  7.618  1.19  4
Se  6.428  8.262  1.2  4
Br  7.79  8.85  1.141  4
Kr  8.505  11.43  1.16  4
Rb  2.331  3.692  2.77  5
Sr  3.024  4.88  1.95  5
Y   3.83  5.62  1.9  5
Zr  3.4  7.1  1.75  5
Nb  3.55  6.76  1.64  5
Mo  3.465  7.51  1.54  5
Tc  3.29  7.98  1.47  5
Ru  3.575  8.03  1.46  5
Rh  3.975  8.01  1.42  5
Pd  4.32  8  1.39  5
Ag  4.436  6.268  1.45  5
Cd  5.034  7.914  1.44  5
In  3.506  5.792  1.42  5
Sn  3.987  6.248  1.39  5
Sb  4.899  6.684  1.39  5
Te  5.816  7.052  1.38  5
I   6.822  7.524  1.333  5
Xe  7.595  9.95  1.4  5
Cs  2.183  3.422  2.984  6
Ba  2.814  4.792  2.15  6
La  2.8355  5.483  2.07  6
Ce  2.774  5.384  2.04  6
Pr  2.858  5.128  2.03  6
Nd  2.8685  5.241  2.01  6
Pm  2.881  5.346  1.99  6
Sm  2.9115  5.439  1.98  6
Eu  2.8785  5.575  1.98  6
Gd  3.1665  5.949  1.96  6
Tb  3.018  5.668  1.94  6
Dy  3.0555  5.743  1.92  6
Ho  3.127  5.782  1.92  6
Er  3.1865  5.829  1.89  6
Tm  3.2514  5.8658  1.9  6
Yb  3.2889  5.93  1.87  6
Lu  2.9629  4.9258  1.87  6
Hf  3.7  6.8  1.75  6
Ta  5.1  5.7  1.7  6
W   4.63  6.62  1.62  6
Re  3.96  7.84  1.51  6
Os  5.14  7.26  1.44  6
Ir  5  8  1.41  6
Pt  4.79  8.86  1.36  6
Au  4.894  5.172  1.36  6
Hg  6.27  8.32  1.32  6
Tl  3.2  5.8  1.45  6
Pb  3.9  7.06  1.46  6
Bi  4.69  7.48  1.48  6
Po  4.21  8.42  1.4  6
At  4.75  9.5  1.5  6
Rn  5.37  10.74  1.5  6
Fr  2  4  2.6  7
Ra  2.843  4.868  2.21  7
Ac  2.835  5.67  2.15  7
Th  3.175  5.81  2.06  7
Pa  2.985  5.81  2  7
U   3.341  5.706  1.96  7
Np  3.549  5.434  1.9  7
Pu  3.243  5.638  1.87  7
Am  2.9895  6.007  1.8  7
Cm  2.8315  6.379  1.69  7
Bk  3.1935  6.071  1.7  7
Cf  3.197  6.202  1.69  7
Es  3.333  6.178  1.68  7
Fm  3.4  6.2  1.67  7
Md  3.47  6.22  1.66  7
No  3.475  6.35  1.65  7
Lr  3.5  6.4  1.64  7
